Name,X,Y,GSE,TOS,BOS,KrigedBot,KrigedTop,KrigeType,Subregion,FG_Elem
357314N1198240W001,787259.9924,3958809.733,333.61,-257.1099475,-326.2421654,TRUE,TRUE,3,19,27803
357316N1195092W001,815742.7206,3959800.78,219.57,-292.7840026,-480.3906299,TRUE,TRUE,3,19,28707
357316N1195092W002,815742.7206,3959800.78,219.57,-292.7843307,-480.3906299,TRUE,TRUE,3,19,28707
357316N1195092W003,815742.7206,3959800.78,219.57,-292.7843307,-480.3903018,TRUE,TRUE,3,19,28707
357316N1197866W001,790643.1155,3958942.227,286.19,-303.3623622,-367.1251575,TRUE,TRUE,3,19,27910
357317N1197618W001,792886.6019,3959027.178,241.14,-338.3554068,-402.1077034,TRUE,TRUE,3,19,28021
357317N1197832W001,790950.3753,3958963.415,281.58,-305.2041207,-368.9574016,TRUE,TRUE,3,19,27910
357317N1199882W001,772403.0553,3958374.087,524.67,-100.222979,-208.527769,TRUE,TRUE,3,14,27682
357319N1194724W001,819071.4198,3959953.326,221.58,-257.7467717,-393.002021,TRUE,TRUE,3,19,28815
357319N1197895W001,790379.6401,3958966.917,2.69,-588.048189,-651.9340157,TRUE,TRUE,3,19,27910
357320N1196997W001,798504.2315,3959247.902,222.38,-347.9156037,-413.4818766,TRUE,TRUE,3,19,28140
357320N1196997W002,798504.2315,3959247.902,,,,TRUE,TRUE,3,19,28140
357321N1197439W001,794504.6913,3959125.225,227.72,-347.3333465,-411.0918766,TRUE,TRUE,3,19,28021
357321N1197439W002,794504.6913,3959125.225,227.72,-347.3336745,-411.0922047,TRUE,TRUE,3,19,28021
357322N1193798W001,827449.3815,3960292.252,250.6,-30.10439633,-103.6214567,TRUE,TRUE,3,19,28938
357322N1194370W001,822273.4537,3960102.521,231.59,-206.382769,-295.1426115,TRUE,TRUE,3,19,28817
357322N1194783W001,818536.353,3959967.415,219.58,-272.9301706,-418.1171785,TRUE,TRUE,3,19,28815
357322N1195153W001,815188.39,3959847.719,216.57,-301.0887927,-492.4877428,TRUE,TRUE,3,19,28706
357322N1197603W001,793020.4852,3959087.146,241.14,-338.8101312,-402.6480577,TRUE,TRUE,3,19,28021
357325N1190442W001,857818.0471,3961499.863,777.79,-33.78119423,-968.7483858,TRUE,TRUE,3,20,30648
357325N1191059W001,852234.2629,3961276.125,541.365,-255.1336877,-1521.135,FALSE,FALSE,1,20,30449
357325N1192551W001,838732.357,3960749.692,302.64,-228.1756168,-462.4603937,TRUE,TRUE,3,20,29706
357325N1193484W001,830289.5158,3960430.99,268.61,-26.79288714,-86.75122047,TRUE,TRUE,3,19,29207
357325N1193926W001,826289.8971,3960282.825,248.6,-51.04534121,-125.1831365,TRUE,TRUE,3,19,28938
357325N1194281W001,823077.5786,3960165.136,239.59,-186.9306693,-269.1924803,TRUE,TRUE,3,19,28936
357327N1199467W001,776154.2076,3958601.209,482.97,-141.0876772,-241.4889239,TRUE,TRUE,3,19,27683
357330N1193671W001,828595.3042,3960423.574,258.61,-24.69649606,-92.64990814,TRUE,TRUE,3,19,29066
357331N1191055W001,852267.8144,3961344.159,547.49,-237.3303281,-1500.05605,TRUE,TRUE,3,20,30449
357332N1197260W001,796120.1785,3959301.247,,,,TRUE,TRUE,3,19,28022
