Name,X,Y,ObsWL,SimWL,Residual,pt_size,color
393457N1218375W001,600172.6040000005,4355784.75700001,57.1226315789473,78.13831578947368,-21.01568421052631,5.584286663214497,#008cff
376038N1208854W001,686661.5366999997,4163959.6789999967,52.79888888888891,73.80777777777777,-21.008888888888894,5.583545449637092,#008cff
368000N1205120W001,721970.781,4075574.077,201.13500000000002,180.135,21.0,5.58257569495584,#ff6a00
374638N1207877W001,695652.4858000003,4148623.4370000022,73.19666666666664,94.18299999999999,-20.98633333333333,5.581084296684938,#008cff
370907N1203285W001,737440.5951000004,4108273.826000002,81.61999999999996,60.650333333333336,20.969666666666665,5.57926486094293,#ff6a00
399585N1220299W002,582858.2543,4423601.662,215.61333333333334,236.58,-20.96666666666666,5.578937285731992,#008cff
373621N1206888W001,704676.9937999997,4137548.4660000005,83.56819444444447,104.51972222222221,-20.951527777777777,5.577283886518049,#008cff
373566N1208007W001,694780.1647000002,4136701.3120000027,73.86387096774197,94.81322580645161,-20.94935483870968,5.577046519176934,#008cff
369666N1208104W001,694920.4309,4093407.5699999956,131.88590909090905,152.8345454545455,-20.948636363636364,5.576968031747257,#008cff
363136N1200218W001,767387.6077,4022849.7589999996,-20.349999999999998,-41.2825,20.932500000000005,5.575204913443769,#ff6a00
379178N1216973W001,614503.5650999997,4197494.834999997,48.5390625,27.616249999999997,20.922812500000003,5.574146095174487,#ff6a00
366766N1200171W001,766561.2961,4063144.213,127.45666666666666,148.37499999999997,-20.918333333333333,5.5736564511704785,#008cff
396672N1221774W002,570557.031599999,4391144.060000001,161.0593452392857,181.95988095238098,-20.90053571309524,5.571710370648521,#008cff
381943N1212620W001,652193.8233000002,4228800.909999998,-19.47095238095238,1.4019047619047618,-20.872857142857146,5.568682210753681,#008cff
377113N1206766W001,704799.6713999999,4176324.6940000034,144.85539999999997,124.00820000000002,20.847199999999994,5.5658734104221494,#ff6a00
379591N1210386W001,672309.5476000004,4203091.624000004,-35.3958695652174,-14.550869565217395,-20.845000000000002,5.565632486304609,#008cff
398651N1219930W001,586126.9282000024,4413269.9739999855,150.83637681159425,171.6720772946859,-20.835700483091788,5.564613946774885,#008cff
372207N1208766W001,688395.9989,4121468.0129999984,57.63705882352941,78.47235294117648,-20.83529411764706,5.564569433982472,#008cff
381121N1212565W001,652847.0087,4219688.453,-28.6,-7.781999999999999,-20.817999999999998,5.562674654191333,#008cff
365381N1202429W001,746819.7682999999,4047171.428,60.36666666666666,81.18333333333334,-20.81666666666667,5.56252853872353,#008cff
371246N1207077W001,703641.4338,4111154.2109999973,84.57962962962971,105.39444444444445,-20.814814814814813,5.562325592810624,#008cff
358947N1194468W001,820731.4118999996,3978104.3879999984,-20.207297297297295,-41.012972972972975,20.805675675675673,5.561323895063326,#ff6a00
373932N1210752W001,670383.7243000005,4140231.152999998,94.96562500000002,115.75062500000001,-20.785000000000004,5.5590569200219475,#008cff
365596N1203613W001,736152.699,4049259.6289999997,233.26,254.015,-20.75499999999998,5.5557655778145545,#008cff
351297N1191816W001,847972.2797999998,3894104.430000001,328.7210526315789,349.47157894736847,-20.75052631578948,5.555274559868974,#008cff
367346N1204050W002,731715.6406,4068571.07,183.03,162.28833333333333,20.741666666666664,5.554301995549555,#ff6a00
362942N1194479W001,819010.6605999994,4022438.101999999,181.69051282051285,202.42025641025643,-20.729743589743585,5.552992816790247,#008cff
367200N1203763W001,734323.2587,4067020.9,167.0,146.28,20.72,5.551922670696417,#ff6a00
363140N1200396W001,765787.7064,4022845.041,-25.6,-46.30499999999999,20.705,5.550274716981383,#ff6a00
361817N1201035W001,760488.4024,4007990.894,141.23333333333332,161.935,-20.701666666666657,5.549908423986867,#008cff
381067N1212316W001,655041.4946000007,4219130.537999999,-28.79390243902439,-8.095365853658535,-20.698536585365854,5.549564439082697,#008cff
377786N1215340W001,629100.4273000001,4182262.6180000002,40.803636363636365,20.137727272727272,20.66590909090909,5.54597724267391,#ff6a00
373024N1206938W001,704395.9257999997,4130913.112000001,84.37291428571432,105.0225714285714,-20.649657142857148,5.54418938237142,#008cff
370952N1204191W001,729373.0474999998,4108550.383000001,55.08419354838711,34.43870967741936,20.64548387096774,5.543730171452498,#ff6a00
366981N1204182W001,730645.9243,4064489.142,-16.52,4.1,-20.619999999999997,5.540925015897091,#008cff
370332N1208879W001,687856.4031000001,4100641.284,137.67333333333335,158.29,-20.61666666666667,5.540557968649522,#008cff
364453N1196360W001,801527.0604,4038602.5039999997,240.1877777777778,219.57833333333332,20.609444444444453,5.539762597806679,#ff6a00
373921N1210857W001,669456.6475000005,4140090.1809999985,84.20666666666669,104.80733333333335,-20.60066666666667,5.538795728678111,#008cff
380687N1212468W001,653788.3776999998,4214888.535999999,-26.976666666666667,-6.382,-20.594666666666665,5.538134712265235,#008cff
361598N1200572W001,764727.0979,4005686.218000001,-14.000000000000004,6.590000000000003,-20.590000000000007,5.537620521815372,#008cff
369635N1206332W001,710705.9162999998,4093441.039,170.49272727272728,149.9172727272727,20.57545454545455,5.536017476317144,#ff6a00
363164N1195399W002,810656.9593000001,4024602.1139999996,171.1614285714286,191.73500000000004,-20.57357142857143,5.535809897754913,#008cff
363281N1194777W001,816196.1926000004,4026102.477999999,163.54323076923083,184.1148717948718,-20.57164102564102,5.53559709692572,#008cff
364581N1193496W001,827154.1269,4040958.1980000003,252.84750000000003,232.29,20.55750000000001,5.534037935439007,#ff6a00
371160N1204568W001,725960.0687999999,4110768.018000003,56.367272727272734,35.819999999999986,20.547272727272723,5.532909962405245,#ff6a00
384162N1216814W001,615114.548,4252818.074,11.6,-8.936,20.536,5.531666360181429,#ff6a00
362519N1195918W001,806247.8581000004,4017278.2929999987,106.0272857142857,126.5528571428571,-20.52557142857143,5.530515580877239,#008cff
351019N1191108W001,854548.3094999997,3891269.2690000003,348.3614285714285,368.8857142857143,-20.524285714285725,5.530373683735783,#008cff
383040N1214005W001,639854.3849999999,4240755.497,-24.4075,-3.90375,-20.503750000000004,5.528106668354888,#008cff
374007N1207252W001,701349.7034000006,4141753.3190000015,75.3393103448276,95.8306896551724,-20.491379310344833,5.526740473049546,#008cff
388965N1219139W003,594185.3708999995,4305851.75,5.3181239669421485,25.808925619834696,-20.49080165289257,5.52667666758877,#008cff
398028N1220294W001,583088.6860999997,4406320.860000004,127.08045075750005,147.57113636363638,-20.49068560613636,5.5266638494741755,#008cff
405069N1223056W001,558833.3891999997,4484252.209999997,401.08090909090913,421.5467532467532,-20.46584415584416,5.52391911464431,#008cff
395219N1220788W001,579179.6618999998,4375100.074,93.08272727272725,113.54363636363637,-20.46090909090909,5.523373640426921,#008cff
369190N1207700W001,698640.9907,4088209.5439999998,-6.609999999999999,13.846666666666666,-20.456666666666667,5.522904671410472,#008cff
371124N1203952W001,731445.1374000006,4110517.0360000026,63.93000000000003,43.48244444444444,20.447555555555557,5.521897340227391,#ff6a00
366328N1203884W001,733505.9988000001,4057315.599,185.14363636363635,205.55999999999997,-20.41636363636363,5.51844703812755,#008cff
375902N1211846W001,660277.0484999998,4161897.6550000007,19.81,40.21923076923076,-20.409230769230774,5.517657664014702,#008cff
361228N1196974W001,797243.9402,4002622.416,6.150000000000003,26.555,-20.404999999999998,5.517189391646093,#008cff
374010N1206999W001,703588.5903000002,4141840.9479999994,82.27312499999998,102.6428125,-20.369687499999994,5.513279018629359,#008cff
365600N1193400W001,827584.4153,4052300.821000001,315.475,295.1116666666667,20.363333333333344,5.512575022460385,#ff6a00
394002N1222764W001,562303.6192999999,4361438.462000009,135.0267142857143,155.37746031746028,-20.350746031746038,5.511180115196692,#008cff
356164N1193406W001,831475.920000001,3947572.3759999974,66.1610204081633,45.82204081632653,20.338979591836736,5.509875784524086,#ff6a00
373460N1207038W001,703391.8868,4135729.5170000014,80.21310344827587,100.55,-20.336896551724145,5.509644836539142,#008cff
369391N1206529W001,709018.5436,4090690.241,122.58555555555556,142.9177777777778,-20.332222222222224,5.5091265475945805,#008cff
388847N1219665W003,589638.6809,4304489.284000001,9.37825925888889,29.68444444444444,-20.306185185555552,5.506238474110702,#008cff
365167N1201827W001,752279.7791,4044953.043,37.8,58.1,-20.3,5.505552130427524,#008cff
378097N1215428W001,628271.635,4185701.273,3.66,23.96,-20.3,5.505552130427524,#008cff
352294N1192909W001,837593.6715999995,3904791.716000001,212.76399999999998,192.504,20.25999999999999,5.501110973970759,#ff6a00
364605N1197654W001,789868.1204000002,4039891.9969999995,149.92545454545456,129.67,20.255454545454544,5.5006060197993945,#ff6a00
375385N1211471W001,663701.2632,4156225.759999999,39.80142857142857,60.037142857142854,-20.235714285714284,5.498412418366538,#008cff
361806N1196010W001,805698.5609999996,4009336.4779999955,150.5132692307692,130.2803846153846,20.23288461538461,5.498097888595201,#ff6a00
384150N1213239W001,646328.7580999995,4253191.865000002,-21.453260869565224,-1.2315217391304352,-20.221739130434777,5.49685880703795,#008cff
378869N1209384W001,681290.3125,4195269.893999997,19.866315789473674,40.07684210526317,-20.210526315789476,5.495611895592131,#008cff
364155N1200763W001,762150.8103,4034007.637,-105.6,-85.405,-20.195,5.493884733724264,#008cff
372438N1206429W002,709069.9078999992,4124521.9779999964,74.9667441860465,95.1579069767442,-20.19116279069767,5.49345777666795,#008cff
384374N1214022W001,639449.4123999999,4255556.203000001,-47.82090909090909,-27.640681818181825,-20.180227272727276,5.492240785257095,#008cff
