NAME	X	Y	Element	BOS	TOS	Layer
C_374782N1209757W001	678990.9492	4149846.619	17811	-7.64	65.83506562	-1
C_374788N1209207W001	683853.162	4150019.218	18000	-9.702755906	51.15649606	-1
C_374788N1210121W001	675770.6927	4149844.592	17674	-133.5997638	-44.627979	-1
C_374793N1210321W001	674000.9557	4149862.908	17377	-176.3456693	-110.7705381	-1
C_374799N1209921W001	677536.6716	4150004.188	17676	-70.0192126	24.18518373	-1
C_374805N1206307W001	709493.8453	4150813.956	18436	-138.63	13.38049869	-1
C_374818N1209227W001	683668.9544	4150348.197	18000	39.3	78.80787402	-1
C_374860N1211696W001	661827.7599	4150361.002	16721	-263.0787533	-94.63190289	-1
C_374874N1206807W001	705053.3526	4151469.476	18433	-213.616706	-40.03107612	-1
C_374900N1211914W001	659891.7131	4150767.566	16476	-199.9389764	8.770341207	-1
C_374916N1207752W001	696686.3496	4151733.761	18334	-104.6722572	13.6430315	-1
C_374918N1208113W001	693493.9756	4151681.093	18247	-110.7524934	108.2677165	-1
C_374924N1209507W001	681167.3982	4151470.103	17914	2.34	62.33595801	1
C_374927N1207991W001	694570.3231	4151806.122	18332	-118.9101444	100.7614436	1
C_374930N1209027W001	685409.7939	4151630.192	18082	-77.9724147	55.07187664	-1
C_374930N1209418W001	681952.8254	4151553.855	17914	16.14272966	78.74015748	-1
C_374932N1207935W001	695064.1503	4151873.201	18332	-118.4858005	80.77502625	-1
C_374934N1211934W001	659707.6439	4151141.423	16476	-177.17	32.83	-1
C_374935N1209754W001	678980.9552	4151544.885	17813	-39.21073491	59.26203412	-1
C_374938N1210118W001	675762.0586	4151509.55	17521	-201.7142651	-27.72706037	-1
C_374938N1210318W001	673993.8356	4151472.375	17269	-201.8532808	-89.12591864	-1
C_374943N1209938W001	677352.2812	4151598.809	17677	-147.5009711	9.293648294	-1
C_374955N1206341W001	709151.3196	4152470.899	18435	-128.5556824	-22.69216535	-1
C_374960N1205482W001	716744.7897	4152720.862	18347	-387.5138451	-69.27237533	-1
C_374963N1206974W001	703552.5062	4152420.805	18338	-292.14	-22.14	-1
C_374963N1207046W001	702915.9325	4152405.249	18337	-225.6880577	-19.66345144	-1
C_374983N1211954W001	659520.3983	4151681.72	16476	-283.7043963	-10.26706037	-1
C_374993N1211049W001	667518.7356	4151949.974	16725	-203.7530709	-170.9459843	-1
C_374993N1211421W001	664230.1336	4151884.385	16607	-272.760853	-179.5977953	-1
C_374996N1209449W001	681662.748	4152280.208	17915	6.237559055	68.8976378	1
C_374996N1209641W001	679965.3671	4152243.303	17813	-17.58324147	73.22384514	1
C_374999N1209032W001	685348.5236	4152394.845	18083	-130.74	87.76	-1
C_375002N1209766W001	678858.8723	4152286.039	17813	-60.63	35.83883202	1
C_375007N1211816W001	660735.2215	4151971.505	16606	-284.5352493	-65.10414698	-1
C_375008N1211953W001	659523.918	4151959.282	16476	-338.67	-28.66343832	-1
C_375016N1209293W001	683036.9891	4152532.372	18001	14.31	77.78506562	-1
C_375034N1212139W001	657874.1926	4152216.393	16335	-279.7146719	-37.40496063	-1
C_375045N1212088W001	658322.6951	4152347.016	16476	-279.9163911	-35.03122047	-1
C_375046N1207071W001	702672.4501	4153320.875	18256	-103.4906824	32.90433071	-1
C_375052N1209238W001	683514.3908	4152942.551	18002	-21.88455381	67.49110236	1
C_375063N1206888W001	704285.5944	4153549.113	18256	-309.6731365	-56.45397638	-1
C_375074N1208054W001	693975.2509	4153424.28	18333	-93.96034121	106.231916	1
C_375077N1209204W001	683808.8147	4153226.595	18002	-42.56808399	63.63860892	-1
C_375088N1204524W001	725176.6398	4154366.383	18455	-379.3442126	-84.27433071	-1
C_375102N1206968W001	703567.7856	4153964.533	18256	-231.9713648	-27.28796588	-1
C_375102N1207577W001	698184.4581	4153834.438	18253	-139.3693176	-56.83454068	-1
C_375105N1207335W001	700322.8364	4153919.006	18254	-130.333399	-61.74284777	-1
C_375138N1206171W001	710602.9291	4154539.546	18342	53.56	113.5613123	-1
C_375163N1206074W001	711453.2901	4154838.738	18261	-236.04	-6.063622047	-1
C_375174N1206971W001	703521.7008	4154762.84	18256	-309.14	-21.15574803	-1
C_375174N1207057W001	702761.5633	4154744.258	18256	-223.0215617	-61.63868766	-1
C_375207N1209202W001	683794.5935	4154669.491	18003	-76.3365748	54.25955381	-1
C_375221N1207929W001	695041.947	4155081.313	18251	-59.47265092	89.4430315	-1
C_375224N1208660W001	688580.5749	4154965.461	18085	-4.313648294	66.85203412	-1
