name	clus_1	clus_2	clus_3	clus_4	clus_5	memb	i.cluster	subregion
C_357283N1191698W001	0.726144196	0.004481697	0.199589007	0.001280418	0.068504683	1	1	sub19sub20sub21
C_357469N1191838W001	0.000116779	1.60252E-05	0.865554281	3.99649E-05	0.13427295	3	3	sub19sub20sub21
C_357469N1191838W002	0.996993672	0.001640818	0.000367472	0.000135468	0.00086257	1	1	sub19sub20sub21
C_357719N1193312W001	0.121444711	0.026145241	0.070110484	0.157590375	0.624709189	5	5	sub19sub20sub21
C_357781N1190720W001	0.000011198	0.35025412	0.000252073	2.2781E-06	0.649480331	5	5	sub19sub20sub21
C_357875N1190415W001	0.000550808	0.004463213	0.06757752	0.000162096	0.927246363	5	5	sub19sub20sub21
C_357944N1190845W001	2.3659E-06	0.00401081	0.00127854	3.06225E-05	0.994677662	5	5	sub19sub20sub21
C_357978N1190798W001	4.495E-07	0.001489244	0.000291938	8.518E-07	0.998217517	5	5	sub19sub20sub21
C_358125N1191017W001	1.51166E-05	0.025954927	0.004461452	6.03955E-05	0.969508108	5	5	sub19sub20sub21
C_358231N1190820W001	0.002385759	0.252220085	0.002924403	0.000868086	0.741601667	5	5	sub19sub20sub21
C_358300N1190906W001	0.000622645	0.998557418	7.25578E-05	0.000010514	0.000736865	2	2	sub19sub20sub21
C_358303N1190990W001	0.004890699	0.989839329	0.000856996	0.000982009	0.003430966	2	2	sub19sub20sub21
C_358339N1190895W001	0.010981996	0.988951617	1.77931E-05	7.0334E-06	4.15611E-05	2	2	sub19sub20sub21
C_358378N1190715W001	0.000006503	0.009083365	0.002209297	2.34197E-05	0.988677415	5	5	sub19sub20sub21
C_358561N1190806W001	2.29182E-05	0.662532002	0.002110222	5.48837E-05	0.335279974	2	2	sub19sub20sub21
C_358564N1191081W001	0.0050181	0.35613837	0.349960201	0.013054866	0.275828463	2	2	sub19sub20sub21
C_358583N1190501W002	0.015196556	0.871091518	0.006067351	0.036074514	0.071570061	2	2	sub19sub20sub21
C_358658N1191081W001	0.000115265	0.998759462	0.000016641	2.11495E-05	0.001087483	2	2	sub19sub20sub21
C_358811N1191084W001	1.09293E-05	0.011688607	0.000801252	5.8253E-06	0.987493386	5	5	sub19sub20sub21
C_358833N1190792W001	0.001212875	0.007156104	0.293501775	0.002253898	0.695875349	5	5	sub19sub20sub21
C_358850N1191037W001	8.33805E-05	0.056820573	0.001429522	4.13455E-05	0.941625179	5	5	sub19sub20sub21
C_358883N1191103W001	8.76337E-05	0.87255949	0.002661739	6.04272E-05	0.12463071	2	2	sub19sub20sub21
C_358886N1190809W001	3.10415E-05	0.133515597	0.004995587	0.000134326	0.861323448	5	5	sub19sub20sub21
C_358908N1190815W001	0.000350995	0.824731742	0.001416332	0.000188188	0.173312744	2	2	sub19sub20sub21
