name	clus_1	clus_2	clus_3	clus_4	memb	cluster	subregion
S_391330N1222165W003	0.0207558949	0.0597389894	0.0928263525	0.8266787632	4	4	sub3sub4
S_391401N1221325W001	0.8637763834	0.0000001707	0.1362164599	0.0000069860	1	1	sub3sub4
S_391675N1222693W001	0.0000763623	0.0000069087	0.0001350235	0.9997817055	4	4	sub3sub4
S_391746N1221495W001	0.9998860512	0.0000000000	0.0001139480	0.0000000008	1	1	sub3sub4
S_391826N1219935W001	0.9078584598	0.0000001081	0.0921154817	0.0000259504	1	1	sub3sub4
S_391914N1221719W001	0.0000002383	0.0000000006	0.9941044799	0.0058952812	3	3	sub3sub4
S_392258N1219984W001	0.9999877106	0.0000000065	0.0000122774	0.0000000055	1	1	sub3sub4
S_392414N1221535W002	0.0000044171	0.0000113439	0.0000034581	0.9999807810	4	4	sub3sub4
S_392414N1221535W003	0.0002839606	0.0000000161	0.9945708829	0.0051451403	3	3	sub3sub4
S_392414N1221535W004	0.0000133801	0.0000000001	0.9999865186	0.0000001012	3	3	sub3sub4
S_392439N1221540W001	0.0000102066	0.0000542899	0.9984297991	0.0015057045	3	3	sub3sub4
S_392497N1222327W001	0.0602485565	0.9397232617	0.0000224664	0.0000057154	2	2	sub3sub4
S_392629N1222754W001	0.1464471173	0.0155527499	0.0731270353	0.7648730974	4	4	sub3sub4
S_392673N1219785W001	0.0073375360	0.9925727646	0.0000598715	0.0000298279	2	2	sub3sub4
S_392753N1221057W001	0.0121135747	0.0000000343	0.9877718082	0.0001145828	3	3	sub3sub4
S_392753N1221057W002	0.0816458224	0.0000000679	0.9183469021	0.0000072075	3	3	sub3sub4
S_392753N1221057W003	0.9809193637	0.0000000079	0.0190796308	0.0000009976	1	1	sub3sub4
S_392870N1222095W001	0.0000138382	0.9988299190	0.0000331204	0.0011231224	2	2	sub3sub4
S_392954N1221212W001	0.0015262251	0.0000000000	0.9984737392	0.0000000356	3	3	sub3sub4
S_393010N1219528W001	0.0391815641	0.0000000000	0.9608184295	0.0000000064	3	3	sub3sub4
S_393010N1219528W002	0.0010437035	0.0000000149	0.9989559532	0.0000003284	3	3	sub3sub4
S_393010N1219528W003	0.0024771036	0.0000005123	0.9975160497	0.0000063344	3	3	sub3sub4
S_393352N1222124W001	0.0000806305	0.9998778376	0.0000187554	0.0000227765	2	2	sub3sub4
S_393416N1220838W001	0.0287917409	0.0000000002	0.9712082260	0.0000000329	3	3	sub3sub4
S_393417N1220838W001	0.0001138960	0.0000000000	0.9998861038	0.0000000001	3	3	sub3sub4
S_393417N1220838W002	0.0084532027	0.0000000000	0.9915467967	0.0000000006	3	3	sub3sub4
S_393417N1220838W003	0.0001384634	0.0000000015	0.9998614122	0.0000001229	3	3	sub3sub4
S_393437N1219519W001	0.0000092121	0.0000000000	0.9999907820	0.0000000059	3	3	sub3sub4
S_393437N1219519W002	0.0132196669	0.0000000168	0.9867797888	0.0000005276	3	3	sub3sub4
S_393437N1219519W003	0.0030431412	0.0000830892	0.9967890608	0.0000847088	3	3	sub3sub4
S_393437N1219519W004	0.0052231203	0.0762816015	0.9166607953	0.0018344829	3	3	sub3sub4
S_393476N1221838W001	0.0000104901	0.9999748150	0.0000063062	0.0000083887	2	2	sub3sub4
S_393619N1219101W001	0.0013254244	0.0147113697	0.3983976136	0.5855655924	4	4	sub3sub4
S_393672N1219985W001	0.9994570449	0.0000128363	0.0005229884	0.0000071303	1	1	sub3sub4
S_393976N1219617W001	0.3824280945	0.0000382813	0.6153178800	0.0022157442	3	3	sub3sub4
S_394002N1222764W001	0.0043423823	0.0035276095	0.0437931089	0.9483368993	4	4	sub3sub4
S_394208N1221341W001	0.0000002986	0.0000011940	0.0000018061	0.9999967013	4	4	sub3sub4
S_394208N1221341W002	0.0000072661	0.0000000047	0.9988275439	0.0011651853	3	3	sub3sub4
S_394208N1221341W003	0.0000025573	0.0000000000	0.9999970073	0.0000004353	3	3	sub3sub4
S_394208N1221341W004	0.0030379375	0.0000051336	0.9929828634	0.0039740656	3	3	sub3sub4
S_394294N1221846W001	0.9999404761	0.0000006957	0.0000586673	0.0000001608	1	1	sub3sub4
S_394347N1222744W001	0.0000472306	0.0000165305	0.0033218777	0.9966143612	4	4	sub3sub4
S_394363N1222487W001	0.0008973350	0.0000269271	0.9522425403	0.0468331975	3	3	sub3sub4
S_394419N1219433W001	0.0421859619	0.0000000000	0.9578139810	0.0000000571	3	3	sub3sub4
S_394419N1219433W002	0.9999999822	0.0000000000	0.0000000178	0.0000000000	1	1	sub3sub4
S_394419N1219433W003	0.9999524146	0.0000000071	0.0000474910	0.0000000873	1	1	sub3sub4
S_394564N1220246W001	0.0000000068	0.9999996845	0.0000002449	0.0000000637	2	2	sub3sub4
S_394575N1220728W001	0.2791546704	0.0298573694	0.6532036309	0.0377843293	3	3	sub3sub4
S_394644N1219514W001	0.9972235520	0.0000001759	0.0027718761	0.0000043960	1	1	sub3sub4
S_394661N1221076W001	0.0643316174	0.0165659288	0.8991628890	0.0199395647	3	3	sub3sub4
S_394927N1219648W001	0.0001082962	0.0000000000	0.9998916841	0.0000000197	3	3	sub3sub4
S_394927N1219648W002	0.9999998196	0.0000000000	0.0000001804	0.0000000000	1	1	sub3sub4
S_394927N1219648W003	0.9999987586	0.0000000000	0.0000012392	0.0000000022	1	1	sub3sub4
S_394927N1219648W004	0.9999543392	0.0000000002	0.0000456420	0.0000000186	1	1	sub3sub4
S_395157N1221122W001	0.0009452933	0.0000001959	0.2572937603	0.7417607505	4	4	sub3sub4
S_395157N1221122W002	0.0854420340	0.0042682534	0.8923032541	0.0179864584	3	3	sub3sub4
S_395157N1221122W003	0.0004183232	0.9847685029	0.0124315318	0.0023816420	2	2	sub3sub4
S_395386N1222523W001	0.1666460386	0.0000010083	0.1087596355	0.7245933177	4	4	sub3sub4
S_395595N1220326W002	0.7085599950	0.0000150911	0.2876390626	0.0037858512	1	1	sub3sub4
S_395595N1220326W004	0.0000009042	0.9999980626	0.0000006980	0.0000003353	2	2	sub3sub4
S_395632N1221069W001	0.0089136361	0.9910648351	0.0000096033	0.0000119254	2	2	sub3sub4
S_395772N1221610W001	0.7597110762	0.0000050942	0.0959170127	0.1443668169	1	1	sub3sub4
S_395848N1222254W001	0.0066464483	0.0000011799	0.0176882139	0.9756641578	4	4	sub3sub4
S_395855N1221170W001	0.0000000000	0.0000000000	0.0000000040	0.9999999959	4	4	sub3sub4
S_395855N1221170W002	0.0000000132	0.0000000058	0.0000170479	0.9999829331	4	4	sub3sub4
S_395855N1221170W003	0.0000234939	0.0000000143	0.1134023170	0.8865741748	4	4	sub3sub4
S_395855N1221170W004	0.0000235145	0.0023884702	0.0037859968	0.9938020185	4	4	sub3sub4
S_395913N1220367W001	0.0000001099	0.9999998822	0.0000000047	0.0000000033	2	2	sub3sub4
S_396049N1222495W001	0.0000065419	0.0000000007	0.0003920361	0.9996014213	4	4	sub3sub4
S_396049N1222495W002	0.9939880367	0.0000000024	0.0059323314	0.0000796295	1	1	sub3sub4
S_396049N1222495W003	0.9978904467	0.0000000004	0.0021061256	0.0000034273	1	1	sub3sub4
S_396049N1222495W004	0.0000037404	0.0000000002	0.0000072562	0.9999890033	4	4	sub3sub4
S_396060N1222621W001	0.0000000004	0.0000000001	0.0000000072	0.9999999922	4	4	sub3sub4
S_396084N1220135W001	0.0000056122	0.9999765921	0.0000027512	0.0000150445	2	2	sub3sub4
S_396087N1220456W001	0.0000156807	0.9999833571	0.0000003418	0.0000006204	2	2	sub3sub4
S_396087N1220456W003	0.9980725219	0.0000007927	0.0018105985	0.0001160868	1	1	sub3sub4
S_396159N1220471W001	0.0004594116	0.9995390238	0.0000011327	0.0000004319	2	2	sub3sub4
S_396244N1221872W001	0.0000001603	0.0000000000	0.0000121733	0.9999876664	4	4	sub3sub4
S_396244N1221872W002	0.8836460089	0.0000000188	0.0122161331	0.1041378391	1	1	sub3sub4
S_396244N1221872W003	0.0000020284	0.0000000007	0.0001829067	0.9998150642	4	4	sub3sub4
S_396299N1221007W001	0.0000079766	0.0000006204	0.9419209507	0.0580704523	3	3	sub3sub4
S_396299N1221007W002	0.0000004040	0.0000000088	0.1131143049	0.8868852823	4	4	sub3sub4
S_396299N1221007W003	0.0116803572	0.0000000677	0.8060420369	0.1822775381	3	3	sub3sub4
S_396332N1222356W001	0.0000000037	0.0000000000	0.0000000102	0.9999999861	4	4	sub3sub4
S_396352N1220330W001	0.9997548253	0.0000015912	0.0002204990	0.0000230845	1	1	sub3sub4
S_396655N1219250W001	0.9989856032	0.0000000000	0.0010143855	0.0000000113	1	1	sub3sub4
S_396672N1221774W002	0.2204298696	0.0000005361	0.5275899511	0.2519796433	3	3	sub3sub4
S_396672N1221774W003	0.0000042518	0.0000000049	0.0017174878	0.9982782555	4	4	sub3sub4
S_396730N1219206W001	0.9998495670	0.0000000002	0.0001504161	0.0000000168	1	1	sub3sub4
S_396730N1219206W002	0.9982285939	0.0000000051	0.0017707908	0.0000006102	1	1	sub3sub4
S_396730N1219206W003	0.8711015891	0.0000424521	0.1272582849	0.0015976738	1	1	sub3sub4
S_396943N1219410W001	0.7522348278	0.0000001016	0.2477552599	0.0000098107	1	1	sub3sub4
S_396971N1222533W001	0.0000000009	0.0000000000	0.0000000057	0.9999999934	4	4	sub3sub4
S_396971N1222535W001	0.0006328685	0.0000000007	0.0055198597	0.9938472711	4	4	sub3sub4
S_396971N1222535W002	0.0378370933	0.0000000088	0.9367734089	0.0253894890	3	3	sub3sub4
